City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
41,Bluff,NZ,-46.6,168.3333,65.19,72,7,1.59,clear sky
42,Chuy,UY,-33.6971,-53.4616,67.28,78,0,8.93,clear sky
43,Hithadhoo,MV,-0.6,73.0833,81.19,73,80,6.55,broken clouds
44,Casper,US,42.8666,-106.3131,36.72,63,0,26.46,clear sky
45,Sitka,US,57.0531,-135.33,39.09,81,20,4.61,few clouds
46,Cabimas,VE,10.3883,-71.4399,78.82,80,10,11.43,clear sky
47,Kidal,ML,18.4411,1.4078,66.13,20,92,11.07,overcast clouds
48,Sarkand,KZ,45.41,79.9186,34.03,95,100,4.05,overcast clouds
49,Waterford,US,42.7023,-83.4027,29.28,81,100,8.05,overcast clouds
50,Araouane,ML,18.9048,-3.5265,62.53,15,91,13.53,overcast clouds
51,Upata,VE,8.0086,-62.3989,72.19,96,100,4.09,overcast clouds
52,Leh,IN,34.1667,77.5833,20.35,95,100,3.18,light snow
53,Carnarvon,AU,-24.8667,113.6333,80.73,58,0,15.5,clear sky
54,Coihaique,CL,-45.5752,-72.0662,65.01,82,0,6.91,clear sky
55,Tiksi,RU,71.6872,128.8694,-37.35,99,100,1.86,overcast clouds
56,Umm Lajj,SA,25.0213,37.2685,68.63,59,74,4.21,broken clouds
57,Sioux Lookout,CA,50.1001,-91.917,19.47,93,100,4.61,mist
58,Georgetown,MY,5.4112,100.3354,80.53,87,20,5.01,few clouds
59,Dikson,RU,73.5069,80.5464,-35.68,92,20,9.35,few clouds
60,Kaputa,ZM,-8.4689,29.6619,66.47,89,100,3.96,light rain
61,Kahului,US,20.8947,-156.47,80.96,67,20,17.27,few clouds
62,Lorengau,PG,-2.0226,147.2712,84.61,69,70,7.72,light rain
63,Saskylakh,RU,71.9167,114.0833,-24.14,98,100,6.29,overcast clouds
64,Hilo,US,19.7297,-155.09,80.33,66,0,9.22,clear sky
65,Camacha,PT,33.0833,-16.3333,60.22,88,40,0.0,scattered clouds
66,Mubende,UG,0.5606,31.39,65.16,53,100,1.39,overcast clouds
67,Port-Gentil,GA,-0.7193,8.7815,76.05,89,100,13.13,light rain
68,Caravelas,BR,-17.7125,-39.2481,74.55,91,100,4.43,overcast clouds
69,Borisoglebskiy,RU,57.2586,39.1508,-31.02,100,35,4.32,scattered clouds
70,Avarua,CK,-21.2078,-159.775,77.05,94,75,12.66,moderate rain
71,Logansport,US,40.7545,-86.3567,31.53,92,0,4.61,clear sky
72,Hermanus,ZA,-34.4187,19.2345,60.8,91,96,6.2,overcast clouds
73,Rawson,AR,-43.3002,-65.1023,81.21,41,100,30.62,overcast clouds
74,Jibuti,DJ,11.5,42.5,67.21,78,7,13.09,clear sky
75,Butaritari,KI,3.0707,172.7902,80.94,78,61,9.28,broken clouds
76,Havoysund,NO,70.9963,24.6622,21.43,75,100,34.61,overcast clouds
77,Cherskiy,RU,68.75,161.3,-44.01,100,67,4.54,broken clouds
78,Mahebourg,MU,-20.4081,57.7,77.29,83,40,5.75,scattered clouds
79,Pevek,RU,69.7008,170.3133,-25.53,97,99,0.67,overcast clouds
80,Cidreira,BR,-30.1811,-50.2056,71.38,77,6,14.14,clear sky
81,Constitucion,CL,-35.3333,-72.4167,58.19,95,15,7.67,few clouds
82,Benghazi,LY,32.1167,20.0667,59.77,68,5,3.87,clear sky
83,Formosa,AR,-26.1775,-58.1781,80.58,57,0,4.61,clear sky
84,Planeta Rica,CO,8.4147,-75.5883,75.43,92,57,7.49,broken clouds
85,Qasigiannguit,GL,68.8193,-51.1922,3.45,86,29,4.0,scattered clouds
86,Brigantine,US,39.4101,-74.3646,43.05,75,100,8.01,overcast clouds
87,Saint Anthony,US,45.0205,-93.218,19.02,84,0,6.91,haze
88,Cubuk,TR,40.2386,33.0322,28.15,86,75,4.61,broken clouds
89,Lata,PT,40.1629,-8.3327,57.81,97,100,3.2,overcast clouds
90,Walvis Bay,NA,-22.9575,14.5053,65.08,88,0,6.91,clear sky
91,Souillac,MU,-20.5167,57.5167,77.38,83,40,5.75,scattered clouds
92,Vila Velha,BR,-20.3297,-40.2925,75.15,91,100,2.3,overcast clouds
93,Yangjiang,CN,21.85,111.9667,62.46,84,100,8.14,overcast clouds
94,Lompoc,US,34.6391,-120.4579,60.6,78,100,16.11,overcast clouds
95,Khatanga,RU,71.9667,102.5,-57.48,100,76,3.83,broken clouds
96,Gamba,GA,-2.65,10.0,74.48,91,100,4.12,light rain
97,Dalianwan,CN,39.0286,121.695,32.04,40,0,8.95,clear sky
98,Bredasdorp,ZA,-34.5322,20.0403,63.86,96,54,1.54,broken clouds
99,Coquimbo,CL,-29.9533,-71.3436,64.13,88,0,6.91,clear sky
100,Saint George,US,37.1041,-113.5841,50.95,64,75,5.99,broken clouds
101,Geraldton,AU,-28.7667,114.6,84.61,34,0,10.36,clear sky
102,Moose Factory,CA,51.2585,-80.6094,21.2,93,100,4.61,snow
103,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,90,97,8.23,overcast clouds
104,Champerico,GT,14.3,-91.9167,79.12,71,14,3.89,few clouds
105,Isangel,VU,-19.55,169.2667,80.96,85,100,21.54,moderate rain
106,Cedar City,US,37.6775,-113.0619,38.37,56,20,9.22,few clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,71.38,90,100,6.91,overcast clouds
108,Airai,TL,-8.9266,125.4092,71.74,56,98,1.95,overcast clouds
109,Dicabisagan,PH,17.0818,122.4157,74.25,81,100,7.02,overcast clouds
110,Fomboni,KM,-12.28,43.7425,81.97,73,83,10.56,broken clouds
111,Vestmanna,FO,62.1564,-7.1664,41.92,81,75,24.16,moderate rain
112,Visby,SE,57.6409,18.296,41.22,93,100,9.22,drizzle
113,Yellowknife,CA,62.456,-114.3525,10.92,85,100,6.91,light snow
114,Lumding,IN,25.7535,93.1732,58.53,67,0,1.12,clear sky
115,Mumford,GH,5.2618,-0.759,78.4,91,1,5.32,clear sky
116,Berlevag,NO,70.8578,29.0864,19.4,86,100,58.7,light snow
117,Gat,IL,31.61,34.7642,55.4,100,21,4.99,few clouds
118,Koungou,YT,-12.7336,45.2042,80.31,78,20,5.75,few clouds
119,Sao Filipe,CV,14.8961,-24.4956,73.11,68,0,14.85,clear sky
